outage_data_id,total_clients,clients_without_power_service,region_id,source_id,source_last_updated_on,data_fetched_on,region_name
167,212508,0,6,1,2022-11-27 23:00:25.038883,2022-11-27 23:00:05.211535,Ponce
168,253068,0,7,1,2022-11-27 23:00:25.320005,2022-11-27 23:00:05.211535,San Juan
169,177369,2315,1,1,2022-11-28 00:00:05.994806,2022-11-28 00:00:04.067067,Arecibo
170,216496,52,2,1,2022-11-28 00:00:06.898984,2022-11-28 00:00:04.067067,Bayamón
171,141663,0,3,1,2022-11-28 00:00:12.682362,2022-11-28 00:00:04.067067,Carolina
172,250514,0,4,1,2022-11-28 00:00:13.228857,2022-11-28 00:00:04.067067,Caguas
173,216605,0,5,1,2022-11-28 00:00:16.066473,2022-11-28 00:00:04.067067,Mayagüez
174,212508,0,6,1,2022-11-28 00:00:17.934758,2022-11-28 00:00:04.067067,Ponce
175,253068,0,7,1,2022-11-28 00:00:19.143238,2022-11-28 00:00:04.067067,San Juan
176,177369,2318,1,1,2022-11-28 01:00:07.486054,2022-11-28 01:00:04.769984,Arecibo
177,216496,55,2,1,2022-11-28 01:00:08.219591,2022-11-28 01:00:04.769984,Bayamón
178,141663,0,3,1,2022-11-28 01:00:10.317271,2022-11-28 01:00:04.769984,Carolina
179,250514,0,4,1,2022-11-28 01:00:10.836460,2022-11-28 01:00:04.769984,Caguas
180,216605,0,5,1,2022-11-28 01:00:11.115535,2022-11-28 01:00:04.769984,Mayagüez
181,212508,0,6,1,2022-11-28 01:00:11.470868,2022-11-28 01:00:04.769984,Ponce
182,253068,0,7,1,2022-11-28 01:00:11.794302,2022-11-28 01:00:04.769984,San Juan
183,177369,11118,1,1,2022-11-28 02:00:07.072135,2022-11-28 02:00:02.806213,Arecibo
184,216496,55,2,1,2022-11-28 02:00:08.012811,2022-11-28 02:00:02.806213,Bayamón
185,141663,1,3,1,2022-11-28 02:00:08.373584,2022-11-28 02:00:02.806213,Carolina
186,250514,4,4,1,2022-11-28 02:00:09.342853,2022-11-28 02:00:02.806213,Caguas
187,216605,356,5,1,2022-11-28 02:00:10.215274,2022-11-28 02:00:02.806213,Mayagüez
188,212508,1,6,1,2022-11-28 02:00:11.846546,2022-11-28 02:00:02.806213,Ponce
189,253068,1,7,1,2022-11-28 02:00:13.531200,2022-11-28 02:00:02.806213,San Juan
190,177369,9643,1,1,2022-11-28 03:00:16.758488,2022-11-28 03:00:05.213672,Arecibo
191,216496,56,2,1,2022-11-28 03:00:17.383903,2022-11-28 03:00:05.213672,Bayamón
192,141663,0,3,1,2022-11-28 03:00:17.609699,2022-11-28 03:00:05.213672,Carolina
193,250514,0,4,1,2022-11-28 03:00:18.922705,2022-11-28 03:00:05.213672,Caguas
194,216605,0,5,1,2022-11-28 03:00:22.938197,2022-11-28 03:00:05.213672,Mayagüez
195,212508,0,6,1,2022-11-28 03:00:35.220709,2022-11-28 03:00:05.213672,Ponce
196,253068,0,7,1,2022-11-28 03:00:35.864737,2022-11-28 03:00:05.213672,San Juan
197,177369,21,1,1,2022-11-28 04:00:11.902873,2022-11-28 04:00:05.100183,Arecibo
198,216496,56,2,1,2022-11-28 04:00:13.102321,2022-11-28 04:00:05.100183,Bayamón
199,141663,0,3,1,2022-11-28 04:00:13.577457,2022-11-28 04:00:05.100183,Carolina
200,250514,0,4,1,2022-11-28 04:00:14.072836,2022-11-28 04:00:05.100183,Caguas
201,216605,0,5,1,2022-11-28 04:00:15.009102,2022-11-28 04:00:05.100183,Mayagüez
202,212508,0,6,1,2022-11-28 04:00:15.563635,2022-11-28 04:00:05.100183,Ponce
203,253068,0,7,1,2022-11-28 04:00:15.925197,2022-11-28 04:00:05.100183,San Juan
204,177369,22,1,1,2022-11-28 05:00:06.040723,2022-11-28 05:00:02.732031,Arecibo
205,216496,56,2,1,2022-11-28 05:00:06.300405,2022-11-28 05:00:02.732031,Bayamón
206,141663,0,3,1,2022-11-28 05:00:06.829627,2022-11-28 05:00:02.732031,Carolina
207,250514,0,4,1,2022-11-28 05:00:25.515830,2022-11-28 05:00:02.732031,Caguas
208,216605,0,5,1,2022-11-28 05:00:27.905907,2022-11-28 05:00:02.732031,Mayagüez
209,212508,0,6,1,2022-11-28 05:00:29.031072,2022-11-28 05:00:02.732031,Ponce
210,253068,0,7,1,2022-11-28 05:00:31.897066,2022-11-28 05:00:02.732031,San Juan
211,177369,23,1,1,2022-11-28 06:00:05.702662,2022-11-28 06:00:04.752837,Arecibo
212,216496,56,2,1,2022-11-28 06:00:07.465967,2022-11-28 06:00:04.752837,Bayamón
213,141663,3464,3,1,2022-11-28 06:00:07.886164,2022-11-28 06:00:04.752837,Carolina
214,250514,7,4,1,2022-11-28 06:00:10.145497,2022-11-28 06:00:04.752837,Caguas
215,216605,0,5,1,2022-11-28 06:00:12.229943,2022-11-28 06:00:04.752837,Mayagüez
216,212508,0,6,1,2022-11-28 06:00:12.495811,2022-11-28 06:00:04.752837,Ponce
217,253068,0,7,1,2022-11-28 06:00:13.002953,2022-11-28 06:00:04.752837,San Juan
218,177369,24,1,1,2022-11-28 07:00:06.694138,2022-11-28 07:00:05.273106,Arecibo
219,216496,56,2,1,2022-11-28 07:00:07.255953,2022-11-28 07:00:05.273106,Bayamón
220,141663,0,3,1,2022-11-28 07:00:09.966027,2022-11-28 07:00:05.273106,Carolina
221,250514,0,4,1,2022-11-28 07:00:10.187464,2022-11-28 07:00:05.273106,Caguas
222,216605,0,5,1,2022-11-28 07:00:14.441456,2022-11-28 07:00:05.273106,Mayagüez
223,212508,0,6,1,2022-11-28 07:00:14.652114,2022-11-28 07:00:05.273106,Ponce
224,253068,0,7,1,2022-11-28 07:00:15.343833,2022-11-28 07:00:05.273106,San Juan
225,177369,26,1,1,2022-11-28 08:00:07.388871,2022-11-28 08:00:04.961859,Arecibo
226,216496,728,2,1,2022-11-28 08:00:07.970234,2022-11-28 08:00:04.961859,Bayamón
227,141663,0,3,1,2022-11-28 08:00:08.717880,2022-11-28 08:00:04.961859,Carolina
228,250514,0,4,1,2022-11-28 08:00:10.176665,2022-11-28 08:00:04.961859,Caguas
229,216605,0,5,1,2022-11-28 08:00:10.947261,2022-11-28 08:00:04.961859,Mayagüez
230,212508,0,6,1,2022-11-28 08:00:11.272155,2022-11-28 08:00:04.961859,Ponce
231,253068,0,7,1,2022-11-28 08:00:11.809155,2022-11-28 08:00:04.961859,San Juan
232,177369,192,1,1,2022-11-28 09:00:05.043255,2022-11-28 09:00:03.434884,Arecibo
233,216496,731,2,1,2022-11-28 09:00:05.377190,2022-11-28 09:00:03.434884,Bayamón
234,141663,0,3,1,2022-11-28 09:00:05.728872,2022-11-28 09:00:03.434884,Carolina
235,250514,0,4,1,2022-11-28 09:00:05.970989,2022-11-28 09:00:03.434884,Caguas
236,216605,0,5,1,2022-11-28 09:00:06.415060,2022-11-28 09:00:03.434884,Mayagüez
237,212508,0,6,1,2022-11-28 09:00:06.640224,2022-11-28 09:00:03.434884,Ponce
238,253068,0,7,1,2022-11-28 09:00:11.443211,2022-11-28 09:00:03.434884,San Juan
239,177369,192,1,1,2022-11-28 10:00:06.621552,2022-11-28 10:00:05.408720,Arecibo
240,216496,747,2,1,2022-11-28 10:00:06.883247,2022-11-28 10:00:05.408720,Bayamón
241,141663,62,3,1,2022-11-28 10:00:07.352957,2022-11-28 10:00:05.408720,Carolina
242,250514,39,4,1,2022-11-28 10:00:07.595558,2022-11-28 10:00:05.408720,Caguas
243,216605,0,5,1,2022-11-28 10:00:07.940821,2022-11-28 10:00:05.408720,Mayagüez
