outage_data_id,total_clients,clients_without_power_service,region_id,source_id,source_last_updated_on,data_fetched_on
64,177369,67,1,1,00:07.7,00:03.3
65,216496,3,2,1,00:09.1,00:03.3
66,141663,1,3,1,00:11.7,00:03.3
67,250514,2,4,1,00:12.1,00:03.3
68,216605,102,5,1,00:15.5,00:03.3
69,212508,7,6,1,00:16.8,00:03.3
70,253068,399,7,1,00:22.9,00:03.3
71,177369,67,1,1,00:19.7,00:04.8
72,216496,3,2,1,00:19.9,00:04.8
73,141663,0,3,1,00:20.6,00:04.8
74,250514,0,4,1,00:20.9,00:04.8
75,216605,0,5,1,00:21.7,00:04.8
76,212508,0,6,1,00:22.0,00:04.8
77,253068,0,7,1,00:22.3,00:04.8
78,177369,67,1,1,00:18.7,00:05.0
79,216496,3,2,1,00:19.7,00:05.0
80,141663,108,3,1,00:20.6,00:05.0
81,250514,3,4,1,00:21.4,00:05.0
82,216605,110,5,1,00:21.7,00:05.0
83,212508,14,6,1,00:21.9,00:05.0
84,253068,22,7,1,00:22.3,00:05.0
85,177369,68,1,1,00:04.5,00:03.5
86,216496,3,2,1,00:08.0,00:03.5
87,141663,108,3,1,00:08.2,00:03.5
88,250514,32,4,1,00:09.7,00:03.5
89,216605,118,5,1,00:10.0,00:03.5
90,212508,17,6,1,00:11.4,00:03.5
91,253068,22,7,1,00:14.0,00:03.5
92,177369,29,1,1,00:05.9,00:04.4
93,216496,3,2,1,00:06.4,00:04.4
94,141663,237,3,1,00:07.5,00:04.4
95,250514,40,4,1,00:07.7,00:04.4
96,216605,37,5,1,00:08.2,00:04.4
97,212508,47,6,1,00:09.3,00:04.4
98,253068,23,7,1,00:09.6,00:04.4
99,177369,8,1,1,00:06.1,00:05.4
100,216496,8,2,1,00:06.6,00:05.4
101,141663,1,3,1,00:07.7,00:05.4
102,250514,124,4,1,00:07.9,00:05.4
103,216605,19,5,1,00:08.5,00:05.4
104,212508,11,6,1,00:12.2,00:05.4
105,253068,1,7,1,00:13.3,00:05.4
106,177369,79,1,1,00:08.9,00:04.1
107,216496,9,2,1,00:10.8,00:04.1
108,141663,0,3,1,00:11.0,00:04.1
109,250514,0,4,1,00:13.1,00:04.1
110,216605,0,5,1,00:13.7,00:04.1
111,212508,0,6,1,00:15.0,00:04.1
112,253068,0,7,1,00:15.3,00:04.1
113,177369,4,1,1,00:04.9,00:03.4
114,216496,4201,2,1,00:07.0,00:03.4
115,141663,0,3,1,00:09.8,00:03.4
116,250514,0,4,1,00:11.4,00:03.4
117,216605,0,5,1,00:13.0,00:03.4
118,212508,0,6,1,00:13.9,00:03.4
119,253068,0,7,1,00:15.5,00:03.4
120,177369,3,1,1,00:10.5,00:05.3
121,216496,11,2,1,00:11.6,00:05.3
122,141663,0,3,1,00:11.9,00:05.3
123,250514,0,4,1,00:12.7,00:05.3
124,216605,0,5,1,00:14.1,00:05.3
125,212508,0,6,1,00:14.3,00:05.3
126,253068,0,7,1,00:14.8,00:05.3
127,177369,1,1,1,00:11.5,00:03.0
128,216496,2,2,1,00:12.6,00:03.0
129,141663,0,3,1,00:13.4,00:03.0
130,250514,0,4,1,00:13.7,00:03.0
131,216605,0,5,1,00:14.0,00:03.0
132,212508,0,6,1,00:14.7,00:03.0
133,253068,0,7,1,00:15.8,00:03.0
134,177369,2,1,1,00:04.6,00:02.7
135,216496,1,2,1,00:12.6,00:02.7
136,141663,0,3,1,00:13.4,00:02.7
137,250514,0,4,1,00:15.5,00:02.7
138,216605,0,5,1,00:16.1,00:02.7
139,212508,0,6,1,00:16.4,00:02.7
140,253068,0,7,1,00:16.7,00:02.7
