Datetime,Region,Total de Clientes,Clientes sin Servicio
10/4/22 8:15,Arecibo,177369,5122
10/4/22 8:15,Bayamon,216496,1849
10/4/22 8:15,Carolina,141663,2316
10/4/22 8:15,Caguas,250514,15399
10/4/22 8:15,Mayaguez,216605,74201
10/4/22 8:15,Ponce,212508,14157
10/4/22 8:15,San Juan,253068,395
10/5/22 10:57,Arecibo,177369,1635
10/5/22 10:57,Bayamon,216496,2757
10/5/22 10:57,Carolina,141663,31
10/5/22 10:57,Caguas,250514,14194
10/5/22 10:57,Mayaguez,216605,64516
10/5/22 10:57,Ponce,212508,20345
10/5/22 10:57,San Juan,253068,153
10/5/22 17:25,Arecibo,177369,1649
10/5/22 17:25,Bayamon,216496,789
10/5/22 17:25,Carolina,141663,1907
10/5/22 17:25,Caguas,250514,9960
10/5/22 17:25,Mayaguez,216605,61739
10/5/22 17:25,Ponce,212508,21177
10/5/22 17:25,San Juan,253068,53
10/6/22 8:24,Arecibo,177369,24262
10/6/22 8:24,Bayamon,216496,637
10/6/22 8:24,Carolina,141663,387
10/6/22 8:24,Caguas,250514,7962
10/6/22 8:24,Mayaguez,216605,49422
10/6/22 8:24,Ponce,212508,19393
10/6/22 8:24,San Juan,253068,282
10/7/22 8:21,Arecibo,177369,1417
10/7/22 8:21,Bayamon,216496,358
10/7/22 8:21,Carolina,141663,106
10/7/22 8:21,Caguas,250514,6210
10/7/22 8:21,Mayaguez,216605,30785
10/7/22 8:21,Ponce,212508,24931
10/7/22 8:21,San Juan,253068,835
10/8/22 15:17,Arecibo,177369,1137
10/8/22 15:17,Bayamon,216496,840
10/8/22 15:17,Carolina,141663,235
10/8/22 15:17,Caguas,250514,8434
10/8/22 15:17,Mayaguez,216605,21275
10/8/22 15:17,Ponce,212508,10143
10/8/22 15:17,San Juan,253068,97
10/9/22 13:35,Arecibo,177369,727
10/9/22 13:35,Bayamon,216496,260
10/9/22 13:35,Carolina,141663,204
10/9/22 13:35,Caguas,250514,1663
10/9/22 13:35,Mayaguez,216605,1698
10/9/22 13:35,Ponce,212508,0
10/9/22 13:35,San Juan,253068,0
10/10/22 19:25,Arecibo,177369,6827
10/10/22 19:25,Bayamon,216496,734
10/10/22 19:25,Carolina,141663,395
10/10/22 19:25,Caguas,250514,2132
10/10/22 19:25,Mayaguez,216605,18125
10/10/22 19:25,Ponce,212508,8929
10/10/22 19:25,San Juan,253068,359
10/11/22 11:21,Arecibo,177369,641
10/11/22 11:21,Bayamon,216496,157
10/11/22 11:21,Carolina,141663,5
10/11/22 11:21,Caguas,250514,1593
10/11/22 11:21,Mayaguez,216605,18627
10/11/22 11:21,Ponce,212508,5076
10/11/22 11:21,San Juan,253068,367
10/13/22 8:12,Arecibo,177369,499
10/13/22 8:12,Bayamon,216496,333
10/13/22 8:12,Carolina,141663,0
10/13/22 8:12,Caguas,250514,0
10/13/22 8:12,Mayaguez,216605,0
10/13/22 8:12,Ponce,212508,0
10/13/22 8:12,San Juan,253068,0
10/14/22 16:54,Arecibo,177369,905
10/14/22 16:54,Bayamon,216496,40
10/14/22 16:54,Carolina,141663,2
10/14/22 16:54,Caguas,250514,601
10/14/22 16:54,Mayaguez,216605,5565
10/14/22 16:54,Ponce,212508,3447
10/14/22 16:54,San Juan,253068,11
10/15/22 10:32,Arecibo,177369,54
10/15/22 10:32,Bayamon,216496,392
10/15/22 10:32,Carolina,141663,89
10/15/22 10:32,Caguas,250514,3762
10/15/22 10:32,Mayaguez,216605,6154
10/15/22 10:32,Ponce,212508,3870
10/15/22 10:32,San Juan,253068,66
10/16/22 11:55,Arecibo,177369,156
